SUBID,BLOCK,TRIAL,time,dimensionality_estimate
317,152,8,-50,0.576029962546816
317,152,8,-38,0.593632958801498
317,152,8,-26,0.574906367041199
317,152,8,-14,0.611610486891386
317,152,8,-2,0.589887640449438
317,152,8,10,0.590262172284645
317,152,8,22,0.554307116104869
317,152,8,34,0.545318352059925
317,152,8,46,0.558801498127341
317,152,8,58,0.552808988764045
317,152,8,70,0.629213483146068
317,152,8,82,0.669662921348315
317,152,8,94,0.680524344569288
317,152,8,106,0.674906367041198
317,152,8,118,0.684269662921348
317,152,8,130,0.678651685393258
317,152,8,142,0.636704119850187
317,152,8,154,0.630337078651685
317,152,8,166,0.595505617977528
317,152,8,178,0.570786516853933
317,152,8,190,0.550187265917603
317,152,9,-794,0.507865168539326
317,152,9,-782,0.492134831460674
317,152,9,-770,0.517977528089888
317,152,9,-758,0.522097378277153
317,152,9,-746,0.517602996254682
317,152,9,-734,0.521722846441948
317,152,9,-722,0.528089887640449
317,152,9,-710,0.504119850187266
317,152,9,-698,0.510861423220974
317,152,9,-686,0.462921348314607
317,152,9,-674,0.431835205992509
317,152,9,-662,0.442696629213483
317,152,9,-650,0.466292134831461
317,152,9,-638,0.521722846441948
317,152,9,-626,0.546067415730337
317,152,9,-614,0.591011235955056
317,152,9,-602,0.601498127340824
317,152,9,-590,0.578651685393258
317,152,9,-578,0.556928838951311
317,152,9,-566,0.508239700374532
317,152,9,-554,0.470037453183521
317,152,9,-542,0.529588014981273
317,152,9,-530,0.534082397003745
317,152,9,-518,0.570037453183521
317,152,9,-506,0.535580524344569
317,152,9,-494,0.508239700374532
317,152,9,-482,0.507865168539326
317,152,9,-470,0.462921348314607
317,152,9,-458,0.427340823970038
317,152,9,-446,0.388014981273408
317,152,9,-434,0.393632958801498
317,152,9,-422,0.4187265917603
317,152,9,-410,0.40936329588015
317,152,9,-398,0.425468164794008
317,152,9,-386,0.435580524344569
317,152,9,-374,0.429962546816479
317,152,9,-362,0.42808988764045
317,152,9,-350,0.41685393258427
317,152,9,-338,0.488014981273408
317,152,9,-326,0.516104868913857
317,152,9,-314,0.502621722846442
317,152,9,-302,0.499250936329588
317,152,9,-290,0.468913857677903
317,152,9,-278,0.445318352059925
317,152,9,-266,0.440823970037453
317,152,9,-254,0.420973782771536
317,152,9,-242,0.425842696629214
317,152,9,-230,0.458052434456929
317,152,9,-218,0.542322097378277
317,152,9,-206,0.625093632958801
317,152,9,-194,0.645318352059925
317,152,9,-182,0.718726591760299
317,152,9,-170,0.739325842696629
317,152,9,-158,0.753932584269663
317,152,9,-146,0.767790262172284
317,152,9,-134,0.759925093632958
317,152,9,-122,0.748689138576778
317,152,9,-110,0.732958801498127
317,152,9,-98,0.673408239700374
317,152,9,-86,0.577153558052434
317,152,9,-74,0.49625468164794
317,152,9,-62,0.438951310861423
317,152,9,-50,0.452059925093633
317,152,9,-38,0.497752808988764
317,152,9,-26,0.567415730337078
317,152,9,-14,0.591760299625468
317,152,9,-2,0.544569288389513
317,152,9,10,0.488014981273408
317,152,9,22,0.443445692883895
317,152,9,34,0.453558052434457
317,152,9,46,0.421348314606742
317,152,9,58,0.435205992509363
317,152,9,70,0.453558052434457
317,152,9,82,0.456928838951311
317,152,9,94,0.461048689138577
317,152,9,106,0.444194756554307
317,152,9,118,0.49250936329588
317,152,9,130,0.51310861423221
317,152,9,142,0.511610486891385
317,152,9,154,0.582397003745319
317,152,9,166,0.616104868913857
317,152,9,178,0.666666666666667
317,152,9,190,0.69438202247191
317,152,10,-794,0.497752808988764
317,152,10,-782,0.48876404494382
317,152,10,-770,0.499625468164794
317,152,10,-758,0.49438202247191
317,152,10,-746,0.515355805243446
317,152,10,-734,0.49063670411985
317,152,10,-722,0.489138576779026
317,152,10,-710,0.483895131086142
317,152,10,-698,0.504494382022472
317,152,10,-686,0.464044943820225
317,152,10,-674,0.468539325842697
317,152,10,-662,0.470786516853933
317,152,10,-650,0.474157303370787
317,152,10,-638,0.46816479400749
317,152,10,-626,0.471161048689138
317,152,10,-614,0.454681647940075
317,152,10,-602,0.502247191011236
317,152,10,-590,0.515355805243445
